ID,Type,From ID,To ID
0DE6E5B4-8D5A-4B12-BE1A-100E67186AB4,outputs,3F0917A5-5161-47B5-BFB9-2A83EF144EC9,6F6B867E-8FD6-4FBA-886F-A01F36EF0571
68AA5805-6B75-4324-9494-CE000EEB6E8C,outputs,0A87B003-DD86-4278-BEE3-EA831E5ACB4E,B088FC1F-7BA4-4BC2-BFAB-F399FF6C1C63
23D86462-3DF6-4CCA-962D-E8BD6AC7D157,inputs into,5C99EAEB-4CA0-4C85-88DF-D759CB90B3C0,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
A7C827C1-2E82-4A42-932D-9864746C187E,inputs into,CC426B9F-BF2D-46D4-8D61-6D35F6189DF4,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
9B18D41B-78AE-4894-9759-93C33478D070,inputs into,F9370C7F-0128-45DD-B135-447918888F96,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
4DE1A580-D21C-4C59-A363-6500AB397C0B,inputs into,B088FC1F-7BA4-4BC2-BFAB-F399FF6C1C63,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
2FBB8710-6894-4F75-ABB6-3D193B0F0B4B,enables,08D19BFC-3D7C-4BB1-8E3D-D0306B26BC21,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
32EC9506-233C-404D-9ED7-66028761C6C7,governs,138A2F63-ACF5-4F79-9656-ADCDB37943CD,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
FD99297D-9058-41A5-A685-047A0D922117,governs,189230D2-669C-4EA6-9C89-C89D32FA8FF2,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
F811356A-8323-4011-8B9C-83094C7CAD20,governs,31D462C7-051E-4A42-BE19-116DBFEDC2EF,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
3CB14772-BB0D-4010-8B5D-0710273D0A8A,enables,3A14BE4A-03C8-43C4-872C-CB1BF0ADC253,3F0917A5-5161-47B5-BFB9-2A83EF144EC9
